	Cabina (1 polys, 3 verts) 'ERROR: No material is assigned!'
		HUD_Cuadro (2 polys, 6 verts) 'Vacio'
			HUDE_AA (1 polys, 3 verts) 'ERROR: No material is assigned!'
			HUDE_AT (1 polys, 3 verts) 'ERROR: No material is assigned!'
				HUDE_ElevacionAT (2 polys, 6 verts) 'HUDE_Elevacion'
			HUDE_Nav (1 polys, 3 verts) 'ERROR: No material is assigned!'
				HUDE_Elevacion (2 polys, 6 verts) 'HUDE_Elevacion'
			RDRE_Busqueda (1 polys, 3 verts) 'ERROR: No material is assigned!'
				HUDE_AvionMarca (2 polys, 6 verts) 'HUDE_AvionMarca'
			Cilindro01 (36 polys, 108 verts) 'Vacio'
			HUDE_No_Nav (1 polys, 3 verts) 'ERROR: No material is assigned!'
				HUDE_No_Canon (1 polys, 3 verts) 'ERROR: No material is assigned!'
					HUDE_Estacion01 (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion02 (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion03 (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion04 (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion05 (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion06 (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion07 (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estaciones (12 polys, 36 verts) 'HUDE_Color'
					HUDE_Estacion02a (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion03a (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion04a (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion05a (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion06a (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion07a (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion03b (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion04b (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion05b (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion06b (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion07b (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion02b (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion04c (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion05c (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion06c (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion07c (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion02c (2 polys, 6 verts) 'ContadorDigital'
					HUDE_Estacion03c (2 polys, 6 verts) 'ContadorDigital'
				HUDE_Canon (1 polys, 3 verts) 'ERROR: No material is assigned!'
					HUDE_CanonContDig1 (20 polys, 60 verts) 'ContadorDigital'
					HUDE_CanonContDig2 (20 polys, 60 verts) 'ContadorDigital'
					HUDE_CanonContDig3 (20 polys, 60 verts) 'ContadorDigital'
			HUDE_ACM (2 polys, 6 verts) 'HUDE_ACM'
		MNC05 (1 polys, 3 verts) 'ERROR: No material is assigned!'
			MNC04 (1 polys, 3 verts) 'ERROR: No material is assigned!'
				MNC03 (1 polys, 3 verts) 'ERROR: No material is assigned!'
					MNC02 (1 polys, 3 verts) 'ERROR: No material is assigned!'
						MNC01 (1 polys, 3 verts) 'ERROR: No material is assigned!'
							Cilindro04 (80 polys, 240 verts) '15 - Predeterminado'
							Rectángulo09 (2 polys, 6 verts) '08 - Predeterminado'
							Rectángulo12 (4 polys, 12 verts) '08 - Predeterminado'
							HUDCajaC (28 polys, 84 verts) '15 - Predeterminado'
							HUDCajaA (2303 polys, 6909 verts) 'CajaHUD'
								HUDCajaB (328 polys, 984 verts) 'CajaHUD'
								HUDSoporte (1000 polys, 3000 verts) 'CajaHUD'
									HUD (82 polys, 246 verts) 'HUD'
								BulboA (76 polys, 228 verts) 'CajaHUD'
								BulboB (76 polys, 228 verts) 'CajaHUD'
								Cilindro47 (116 polys, 348 verts) '10 - Predeterminado'
									Caja20 (12 polys, 36 verts) '10 - Predeterminado'
									Caja18 (12 polys, 36 verts) '10 - Predeterminado'
									Cilindro48 (44 polys, 132 verts) 'Material #23'
								Cilindro18 (20 polys, 60 verts) '10 - Predeterminado'
								Cilindro37 (20 polys, 60 verts) '10 - Predeterminado'
								Tubo01 (70 polys, 210 verts) 'MetalNegro'
								Rectángulo13 (2 polys, 6 verts) 'ReflejoA'
								Caja02 (12 polys, 36 verts) 'MetalNegro'
								Caja27 (6 polys, 18 verts) 'MetalNegro'
								ChafCaja03 (6 polys, 18 verts) 'MetalNegro'
								ChafCaja60 (6 polys, 18 verts) 'ReflejoA'
								Caja32 (6 polys, 18 verts) 'MetalNegro'
								ChafCaja61 (6 polys, 18 verts) 'MetalNegro'
								ChafCaja62 (6 polys, 18 verts) 'ReflejoA'
								Tubo18 (70 polys, 210 verts) 'MetalNegro'
								Caja33 (12 polys, 36 verts) 'MetalNegro'
								Rectángulo15 (2 polys, 6 verts) 'ReflejoA'
								SelectorHUD_DiaNoche (90 polys, 270 verts) 'CajaHUD'
							TrasPanel (28 polys, 84 verts) '08 - Predeterminado'
							PanelesPrincipales (1099 polys, 3297 verts) 'Textura01'
								ADI (2 polys, 6 verts) 'Vacio'
									ADI_Elevacion (36 polys, 108 verts) 'Inst05B'
									ADI_Giro (40 polys, 120 verts) 'Material #83'
									ADICubreB (24 polys, 72 verts) 'Material #23'
									ADIDesvAlt (2 polys, 6 verts) 'Material #16'
									ADIDesvCurso (2 polys, 6 verts) 'Material #16'
									ADIDesvCursoPadre (12 polys, 36 verts) 'Material #16'
									ADIFondo (10 polys, 30 verts) '08 - Predeterminado'
									IndicadorDerrapeHorizontal2 (8 polys, 24 verts) 'Color00'
									Inst05 (2 polys, 6 verts) 'Inst05A'
								Inst01 (2 polys, 6 verts) 'Inst01'
									VelocidadIndicada (3 polys, 9 verts) 'AgujasA'
									VelocIndMiles (3 polys, 9 verts) 'Bits'
								Inst02 (2 polys, 6 verts) 'Inst02'
									AltitudBarometrica000 (3 polys, 9 verts) 'AgujasA'
									AltitudBarometrica00 (7 polys, 21 verts) 'AgujasA'
								Inst03 (2 polys, 6 verts) 'Inst03'
									Inst03.01 (2 polys, 6 verts) 'Luces'
									Inst03.02 (10 polys, 30 verts) 'Luces'
									Inst03.03 (2 polys, 6 verts) 'Luces'
									Inst03.04 (30 polys, 90 verts) 'Luces'
									Inst03.07 (4 polys, 12 verts) 'Luces'
									Inst03.05 (4 polys, 12 verts) 'Luces'
									Inst03.06 (4 polys, 12 verts) 'Luces'
								Inst07 (2 polys, 6 verts) 'Inst07'
									Inst07.01 (8 polys, 24 verts) 'Color00'
										VelocidadVertical (15 polys, 45 verts) 'AgujasA'
									IndicadorGiro (6 polys, 18 verts) 'Color00'
										Inst07.02 (16 polys, 48 verts) 'AgujasC'
											Inst07.021 (4 polys, 12 verts) 'Negro'
									IndicadorDerrapeHorizontal1 (8 polys, 24 verts) 'Color00'
								Inst08 (2 polys, 6 verts) 'Inst08'
									VelocidadReal (3 polys, 9 verts) 'AgujasA'
									NumeroMach (4 polys, 12 verts) 'AgujasA'
										Inst08.01 (2 polys, 6 verts) 'Color00'
								Inst09 (2 polys, 6 verts) 'Inst09'
									RelojHora (10 polys, 30 verts) 'AgujasA'
									RelojMinutos (10 polys, 30 verts) 'AgujasA'
									RelojSegundos (10 polys, 30 verts) 'AgujasA'
								Inst10 (2 polys, 6 verts) 'Inst10'
									RadarAltimetro (4 polys, 12 verts) 'AgujasA'
									LuzAltimetroRdr (9 polys, 27 verts) 'Luces'
								Inst11 (2 polys, 6 verts) 'Inst11'
									Tacometro (11 polys, 33 verts) 'Color00'
										Inst11.01 (3 polys, 9 verts) 'AgujasA'
											Inst11.02 (4 polys, 12 verts) 'Color00'
								Inst12 (2 polys, 6 verts) 'Inst12'
									TemperaturaEscapeIzq (3 polys, 9 verts) 'AgujasA'
								Inst13 (2 polys, 6 verts) 'Inst13'
									TemperaturaEscapeDer (3 polys, 9 verts) 'AgujasA'
								Inst14 (2 polys, 6 verts) 'Inst14'
								Inst15 (2 polys, 6 verts) 'Inst15'
								Inst16 (2 polys, 6 verts) 'Inst16A'
									RectánguloAux (2 polys, 6 verts) 'Color00'
									Combustible (4 polys, 12 verts) 'Inst16B'
									Fondillo2 (2 polys, 6 verts) 'Negro'
									LuzCombustibleA (2 polys, 6 verts) 'Luces'
									LuzCombustibleB (2 polys, 6 verts) 'Luces'
									LuzCombustibleC (2 polys, 6 verts) 'Luces'
									LuzCombustibleD (2 polys, 6 verts) 'Luces'
									RangoOptimo1 (20 polys, 60 verts) 'Contador'
									RangoOptimo2 (20 polys, 60 verts) 'Contador'
									RangoOptimo3 (20 polys, 60 verts) 'Contador'
								Inst17 (2 polys, 6 verts) 'Inst17'
									PosicionRampaDer (8 polys, 24 verts) 'Color00'
									PosicionRampaIzq (8 polys, 24 verts) 'Color00'
								Inst18 (2 polys, 6 verts) 'Inst18'
								Inst19 (2 polys, 6 verts) 'Inst19'
									RectanguloAux (2 polys, 6 verts) 'Negro'
									SPO-15 (146 polys, 438 verts) 'RWR'
								PanelFrontalIzqCubre (300 polys, 900 verts) 'MetalNegroNoPulido'
								PanelIzqRotador (4 polys, 12 verts) 'ERROR: No material is assigned!'
									Inst04 (2 polys, 6 verts) 'Inst04'
										AnguloDeAtaque (3 polys, 9 verts) 'AgujasA'
										AceleracionRadial (3 polys, 9 verts) 'AgujasA'
								SwitchTrenAterrizaje (200 polys, 600 verts) 'Bits'
