Peak Coord		Height (ft)
-----------------------
274000	92500	10741
307000	96000	11020
683000	108000	7874
708000	107500	4478
729000	105500	3589
802000	103500	2536
930500	101000	1690
1066500	98000	2211
133500	110000	2999
215000	111000	3255
291500	115000	9318
314000	101000	10272
430500	113000	10020
472500	110500	8645
508000	107000	6824
626500	116500	472
639500	114000	2694
726500	118500	4068
795000	117500	2713
118000	118500	2346
143000	124500	2329
230000	125000	8130
289000	112500	8465
379000	129000	7254
386000	124500	7044
423000	116000	9905
480500	123500	6453
529500	120500	8848
661000	122000	1696
684500	117500	7736
715500	124500	5059
1030500	123500	2753
1070500	120500	4885
118000	121500	1988
182500	134000	5033
247500	136000	8488
252000	138000	8556
289000	127000	8241
330000	125000	5689
379000	131000	8386
431000	123000	8038
621500	139000	1319
728000	127500	5308
787500	123500	2995
821500	134000	3310
1099000	138000	8865
202000	140500	6729
238000	143500	5965
252000	138000	8556
276500	145500	8031
367500	149000	9170
392000	136000	8747
402500	145500	9170
488500	143500	8071
553000	133500	11496
577500	143500	12392
699000	146500	7959
744500	146500	4370
821500	134000	3310
918500	140500	4642
990500	133000	4259
155000	150500	4715
280500	146500	7113
319000	148000	8330
339500	141000	6142
377500	159000	10591
427000	149000	8186
440500	141500	5696
602000	155500	10436
699000	146500	7959
964500	154000	5046
1033500	159000	7887
1074000	151000	11463
110000	165000	4068
129000	159500	4469
194500	158500	6437
232500	163500	8248
257000	160500	9114
270500	155000	6729
293000	166500	7238
334000	161000	8051
526500	164500	7224
591500	169000	8996
636000	167500	6808
687500	169000	8314
726500	169000	9770
775500	169000	7234
812000	169000	3081
889500	162500	7073
990500	159500	5282
1053500	164500	10531
145000	169000	3602
212000	163500	6099
304500	166000	6864
423500	178000	8291
483000	173500	6283
526500	164500	7224
609000	168500	13087
697500	178500	8793
789000	176500	9101
871500	174500	4967
978500	165500	4672
1049000	168500	9354
1070500	177000	11565
146500	175500	2641
176500	179500	5955
182000	181500	6243
221000	184000	4859
255500	178000	6230
281500	171500	6119
341000	183000	9491
376500	172000	8625
430500	170500	7822
483000	173500	6283
527500	170500	4783
571000	184000	10446
647500	184500	9321
680000	185000	8967
711000	179500	10951
748500	181500	10978
762500	187000	9170
799000	181000	8812
841000	189000	6975
1029000	188000	7638
230500	194500	4478
261000	181000	6112
297000	197500	8396
387000	192500	7651
473500	189000	5587
552000	187000	10531
663000	196500	10466
735000	182500	8091
783000	184000	9003
801000	194500	9009
841500	193500	8166
894500	198000	5072
958000	192500	5292
1076000	185000	12490
118500	200000	3589
141000	203000	5046
185500	199000	7333
228000	205500	5207
297000	197500	8396
325000	204000	7651
374000	205000	8304
659000	195000	9058
698500	196500	10207
764500	193000	9324
827000	198500	8415
853000	201000	8284
992000	202500	10098
1058500	192000	10873
139000	201500	4131
218000	206000	3753
256000	215500	4308
298500	200500	6775
364500	210000	8881
405000	216500	5948
542000	218500	7129
601000	210500	6739
626500	211500	13212
674500	205000	10164
831500	216500	7533
875000	215500	7480
992000	202500	10098
1021000	208500	9111
110500	223000	1257
165500	217500	3432
192500	219500	3688
303500	223500	6798
390000	219500	5709
542000	218500	7129
618500	213500	7615
656500	212500	7320
705000	224500	9459
737000	214500	8028
763000	218500	7667
827500	217000	7047
908000	218000	8986
953000	222000	10092
1032500	219000	10292
144500	235500	3747
203500	235000	4058
230500	231000	5046
279000	236500	7408
372500	229000	8140
400500	228500	6050
449000	238500	4692
452500	236500	4885
668500	234000	7546
705000	224500	9459
731000	234000	7530
862000	236000	6470
916500	232000	8671
1003000	235500	7674
1069000	235500	14423
118000	248000	2411
153500	244000	4229
186500	247500	4669
290500	234000	5902
346000	237500	6447
452500	236500	4885
518000	243000	5600
592500	235000	5892
636000	249000	6430
678000	238000	9124
769000	245500	7313
783000	245500	9511
858000	244500	7736
886500	247000	6873
937000	246000	8133
976500	242000	9026
1070500	235500	12451
235500	244000	6283
338500	243000	5856
472000	250500	5738
537000	256500	6207
556000	249000	5764
678500	240500	8645
719000	249000	7139
756000	240500	7073
790500	244500	7799
1011000	251000	10167
132500	261500	4672
177500	253000	3241
203000	259000	6109
228500	256000	7270
264500	251500	6181
291000	264500	6621
343500	250500	5705
404000	258000	6165
461500	258000	5105
537000	256500	6207
560500	267500	4846
615000	263500	5997
731000	266500	7782
836500	264000	11486
880500	269000	10919
931000	262000	10089
986000	260000	11207
1098500	262000	11975
141500	263000	3045
322500	265500	6263
397000	266000	5584
457000	274000	5066
474500	279000	5098
509500	273500	5262
663000	269500	8196
690500	269000	6381
748500	266000	9022
791500	279000	9029
843000	267500	11880
871500	271500	11880
906000	269500	11073
924500	271500	10568
1010000	270000	10338
111000	282000	6270
136000	278500	3196
213000	279000	4560
268000	289000	4678
352000	282000	4409
523000	287500	6076
552000	276500	5909
619500	277500	5069
715000	277000	6194
737000	284500	6444
772000	281000	9918
791500	279000	9029
883000	287500	12313
973000	286500	11053
1071000	278500	8848
111000	282000	6270
140500	282000	2844
173000	294000	2297
199000	291000	4449
230500	284500	4800
282500	291000	6759
395500	291500	5509
479000	288000	6608
587000	292000	5850
691500	284500	6759
723500	296500	7264
828000	282000	8681
851500	284500	10502
883000	287500	12313
945500	283000	9551
973000	286500	11053
1032500	285000	10764
1058000	293500	11749
146500	303500	3130
150500	298000	2664
222500	294000	3947
252500	304000	8868
348500	298500	5876
374500	300000	6247
411000	298500	3996
496500	303000	7113
525500	290500	4656
564500	301500	5784
587000	292000	5850
613500	304000	6106
654000	305000	6526
697000	301000	7047
724000	309000	7526
747000	308500	9098
777500	304500	9888
902000	304500	8711
920500	301000	10292
1091000	301000	11204
99500	308500	2818
292500	304000	4393
343000	309000	5190
456000	318500	5978
496500	303000	7113
532000	306000	4856
620500	304000	5394
714000	307000	8832
819500	312000	8520
860500	318500	8533
954000	306000	10961
992500	309000	11161
1069500	311000	10981
112500	316500	2359
169500	328000	2792
195000	322000	2782
260500	322000	3261
326500	329000	4541
374000	316000	5997
430500	321500	6545
567500	321500	5440
609500	325500	6138
658500	326500	5180
738000	312000	8307
787000	329000	9386
843000	323500	11453
964500	323000	11417
1027000	319500	10217
1098500	317000	10279
154500	336500	2205
241500	332500	3215
298000	334000	4692
357500	339000	6125
411500	330500	8281
445000	333000	6545
469500	331500	7375
507500	327500	6414
696000	329500	6152
729000	335000	6345
754000	323000	7579
788500	331000	10735
812500	328000	9455
837000	327500	10213
880500	333500	10817
919000	331000	10791
927000	331000	11827
1051000	333500	10971
107500	343500	1358
137000	347000	3153
288500	335000	3957
305000	338000	5387
