Sector		Max Height (ft)
-----------------------
00	00	7592
01	00	5174
02	00	11020
03	00	10167
04	00	8606
05	00	7874
06	00	4068
07	00	3327
08	00	5249
09	00	12897
00	01	5102
01	01	8248
02	01	9491
03	01	10591
04	01	12392
05	01	13212
06	01	10978
07	01	10092
08	01	14423
09	01	14715
00	02	6270
01	02	7270
02	02	8868
03	02	8281
04	02	7238
05	02	8832
06	02	11486
07	02	12313
08	02	13363
09	02	17818
00	03	7851
01	03	3169
02	03	1634
03	03	7047
04	03	9009
05	03	6365
06	03	2530
07	03	5072
08	03	13960
09	03	17382
00	04	3550
01	04	1716
02	04	112
03	04	0
04	04	5404
05	04	2536
06	04	3127
07	04	11237
08	04	19787
09	04	17756
00	05	8760
01	05	1975
02	05	919
03	05	630
04	05	2585
05	05	2421
06	05	981
07	05	925
08	05	2392
09	05	1447
00	06	7349
01	06	1503
02	06	1053
03	06	968
04	06	787
05	06	1142
06	06	1289
07	06	1283
08	06	758
09	06	840
00	07	1594
01	07	1401
02	07	1132
03	07	906
04	07	843
05	07	978
06	07	974
07	07	919
08	07	846
09	07	968
00	08	787
01	08	1037
02	08	722
03	08	817
04	08	1056
05	08	1483
06	08	1060
07	08	869
08	08	843
09	08	1194
00	09	1181
01	09	1302
02	09	988
03	09	1020
04	09	1060
05	09	1063
06	09	1070
07	09	922
08	09	787
09	09	1122
